,content,description,title
0,"by Leigh Bardugo
Six outcasts, high stakes, one mission. When the Crows of Ketterdam, a group of highly proficient thieves, heartbreakers, and spies lead by notorious criminal prodigy Kaz Brekker, a… [+485 chars]","If you're looking for decent disabled representation, look no further than these amazing reads featuring diverse and nuanced characters within the disability community.View Entire Post ›",15 Books Featuring Noteworthy Disabled Leads
1,"Bettmann / Bettmann Archive
In 1955, 14-year-old Emmett was visiting relatives in Mississippi and stopped in a shop along with his cousins. A white woman, Carolyn Bryant, claimed that Emmett whistle… [+555 chars]",Mr. Evers' killer wasn't convicted for nearly three decades.View Entire Post ›,What They Didn't Teach You In School: The Assassination Of Medgar Evers And The Murderer Who Walked Free For Three Decades
2,"Promising review: ""Goo Gone is one of those things that I somehow had never heard of until this year (though others have apparently had it in their households for years). When I saw it in this BuzzFe… [+1642 chars]",Take control back.View Entire Post ›,30 Things That'll Help Prevent Mess From Taking Over Your Home
3,"""First of all, let me start by saying my pizza standards are HIGH from growing up in an Italian family who is serious about their za, and right off the bat, these tasted more like the kind of pizza I… [+1755 chars]","We ate, we reviewed, and now we made a list of recs for you.View Entire Post ›",22 Food Products We’ve Tried And Absolutely Loved
4,"""Thats OK, and its actually a good thing not to have to say yes to a relationship just because someone thinks theyre qualified to date you. That moment changed my perspective so much, and I was able … [+82 chars]","""I realized: They aren't laughing because I'm funny — they're laughing because they're scared.""View Entire Post ›","15 Stories From Formerly ""Creepy"" Men That Are Actually Really, Really Important"
5,"""To be clear, they told her that she was welcome to hang out there if she wanted to. They left some snack food for her and a few drinks in the fridge, that sort of thing. All she had to do was take i… [+946 chars]","""They said help yourself to whatever you like. She came home with their waffle maker.""View Entire Post ›","""She Left Behind Fleas"": People Are Sharing Stories About Their Housemates From Hell"
6,The reviewer with the gorg mani above said their nails stayed perfect after a long day of gardening and housework! I personally am an Orly devotee as well I love pretty much all their products that I… [+1653 chars],Finds ranging from fun to practical that you won't regret spending a few bucks on.View Entire Post ›,Just 35 Things Under $20 You'll Be Glad You Bought
7,"""Next thing I remember, I was home alone. Apparently, I kicked his ass out of my truck and left him in the middle of a Walmart parking lot. Later, he told me he didnt remember saying anything. But dr… [+614 chars]","""At the time, I really felt like I was losing it. I second-guessed basically everything and everyone.""View Entire Post ›","People Are Sharing Exactly How They Caught Their Significant Other Cheating, And Some Of These Are Extremely Eye-Opening"
8,Sign up to the BuzzFeed Quizzes Newsletter - Binge on the latest quizzes delivered right to your inbox with the Quizzes newsletter!,I'm still ~berry~ curious to know if you're Team Edward or Team Jacob.View Entire Post ›,"Tell Us Your ""Twilight"" Opinions And We'll Reveal Which Berry Matches Your Energy"
9,"The Inheritance of Orquídea Divina by Zoraida Córdova
The magic of Four Rivers had faded before Orquídea Divina moved in. The matriarch has never left the home, holding tight to secrets her family h… [+6786 chars]","Look, I know we're not supposed to talk about Bruno...but...View Entire Post ›",Reveal Your Encanto Opinions And We'll Tell You What To Read Next
