,content,description,title
10,"Lionsgate / TCD / Prod.DB / Courtesy Alamy
While many despised that Bug was not the body horror thriller that they may have expected from The Exorcist director William Friedkin, the performances on … [+154 chars]",Bad script? Over-the-top characters? No problem.View Entire Post ›,25 Must-Watch Performances Found In Bad Movies
11,Keep up with the latest daily buzz with the BuzzFeed Daily newsletter!,"""💙 2/2/22.""View Entire Post ›",Kylie Jenner Welcomed The Birth Of Her Second Child With Travis Scott And Revealed The News On Instagram
12,"Jeff J Mitchell / Getty Images
In their thread, they said: ""I'm moving to your fine nation for a year from my miserable little island home and I'm just wondering how likely I am to be cast out as a … [+173 chars]","""So long as you accept that you'll always be called a pom, you'll fit right in.""View Entire Post ›",Aussies Are Sharing Their Thoughts On British People And The Rules They Need To Follow If They Move To Australia
13,"Jc Olivera / WireImage
John Legend won the Grammy for Best New Artist, Best R&amp;B Album, and Best R&amp;B Vocal in 2005. She won the Oscar for Best Original Song, ""Glory,"" from Selma. In 2017, he … [+148 chars]",These incredible Black actors have been recognized for being able to do it all.View Entire Post ›,5 Completely Mesmerizing Black EGOT Winners And 7 More Chasing The Coveted Title
14,"NBC
Since ANTM, Yaya pivoted to acting and has gone on to star in Ugly Betty, The Kids Are Alright, All My Children, and, most notably, the Chicago Cinematic Universe (Med, Fire, and P.D.)","From Too Hot To Handle to Armani runways to Vogue Italia to Real Housewives of Atlanta to Playboy, oh my!View Entire Post ›","Here's An Update On The Most Memorable ""ANTM"" Contestants"
15,"Jean Baptiste Lacroix / WireImage / Getty Images
Murphy, pictured here in November 2009, passed away in December 2009.  An HBO Max documentary on her life was released in 2021.","""Never knew how much I missed ya!""View Entire Post ›","""Sister, Sister"" First Aired Almost Thirty Years Ago, And Here's What The Cast Looked Like Then Vs. What They Look Like Today"
16,"I love a good smoothie, but I hate how hard it can be to make a smoothie that's actually, well, smooth. That is until I started using this blender. Before I had the Ninja Foodi, I was making smoothie… [+1171 chars]","The reviews have spoken — these useful products are a need, not a want.View Entire Post ›",31 Things That Are Must-Haves For Others So They'll Probably Be A Must-Have For You
17,"Getty Images
Both of them would be turning 96 this year. Queen Elizabeth II was born April 21, 1926, and Marilyn was born June 1, 1926.",Today I found out that Prince William and Nicki Minaj are the same age.View Entire Post ›,"The Sprouse Twins And Cardi B, Plus 33 More Famous People You Didn't Realize Were The Same Age"
18,"@kanyewest / Via instagram.comThe first post said, ""Send me Kim's number."" This one says, ""Send me Kim number,"" which makes it appear that he reached out to multiple people to get her number.",Kanye posted three Instagram posts about the situation on Sunday.View Entire Post ›,"In A Series Of Instagram Posts Shared Sunday Morning, Kanye West Claimed Kim Kardashian Accused Him Of ""Stealing,"" ""Being On Drugs,"" And ""Putting A Hit Out On Her"""
19,"Another bonus? If you flip the lid over, it has a wooden base, so you can *also* use this as a teensy snack table. I recently got one of these for my new apartment to stash my candles and ~candle acc… [+1027 chars]","Would you look at the time, it's ""burrow under a faux fur duvet while casting glorious light from a sunset lamp and drinking coffee made with a milk frother"" o'clock.View Entire Post ›",38 Little Home Products To Make You Feel Warm And Fuzzy Inside
